factor,dimension,carga,carga_abs
Factor_15,emb_dim_0464,0.25089375231962047,0.25089375231962047
Factor_15,emb_dim_0128,0.2475056954180077,0.2475056954180077
Factor_15,emb_dim_0046,-0.24625609817252656,0.24625609817252656
Factor_16,emb_dim_0090,-0.6847876078472941,0.6847876078472941
Factor_16,emb_dim_0268,0.5545263042074456,0.5545263042074456
Factor_16,emb_dim_0501,-0.5408314253130775,0.5408314253130775
Factor_16,emb_dim_0460,0.4643530453299849,0.4643530453299849
Factor_16,emb_dim_0172,0.4589781484020867,0.4589781484020867
Factor_16,emb_dim_0355,-0.4535643731191086,0.4535643731191086
Factor_16,emb_dim_0143,0.3897479739210456,0.3897479739210456
Factor_16,emb_dim_0469,-0.3819984568554369,0.3819984568554369
Factor_17,emb_dim_0298,-0.5631759178661822,0.5631759178661822
Factor_17,emb_dim_0022,-0.23932138140820336,0.23932138140820336
Factor_17,emb_dim_0476,0.23743515710754634,0.23743515710754634
Factor_17,emb_dim_0173,-0.2282449421135655,0.2282449421135655
Factor_17,emb_dim_0165,-0.22511947666561533,0.22511947666561533
Factor_17,emb_dim_0099,-0.22427649196380375,0.22427649196380375
Factor_17,emb_dim_0491,0.21518530709132686,0.21518530709132686
Factor_17,emb_dim_0339,-0.21475061062579062,0.21475061062579062
Factor_18,emb_dim_0049,0.7000753940061988,0.7000753940061988
Factor_18,emb_dim_0411,0.3657152851577089,0.3657152851577089
Factor_18,emb_dim_0498,-0.3203855867356443,0.3203855867356443
Factor_18,emb_dim_0286,-0.31764039312102066,0.31764039312102066
Factor_18,emb_dim_0095,0.30258377871055614,0.30258377871055614
Factor_18,emb_dim_0363,0.2955535241637165,0.2955535241637165
Factor_18,emb_dim_0206,-0.2949572535774361,0.2949572535774361
Factor_18,emb_dim_0136,0.29297401948441937,0.29297401948441937
Factor_19,emb_dim_0025,0.7957217986505736,0.7957217986505736
Factor_19,emb_dim_0251,-0.3792441054066139,0.3792441054066139
Factor_19,emb_dim_0142,-0.34830551718475206,0.34830551718475206
Factor_19,emb_dim_0242,0.29822421733726967,0.29822421733726967
Factor_19,emb_dim_0029,0.2766058153424246,0.2766058153424246
Factor_19,emb_dim_0173,0.26518392647632105,0.26518392647632105
Factor_19,emb_dim_0182,0.26233204297380136,0.26233204297380136
Factor_19,emb_dim_0005,-0.26209885501425134,0.26209885501425134
Factor_20,emb_dim_0138,0.3702561661280818,0.3702561661280818
Factor_20,emb_dim_0387,-0.2821409443936352,0.2821409443936352
Factor_20,emb_dim_0370,0.274951917401575,0.274951917401575
Factor_20,emb_dim_0259,-0.25329594806337596,0.25329594806337596
Factor_20,emb_dim_0273,-0.24088514876218048,0.24088514876218048
Factor_20,emb_dim_0424,-0.24064711550086623,0.24064711550086623
Factor_20,emb_dim_0425,-0.21760920979513226,0.21760920979513226
Factor_20,emb_dim_0286,0.2167716836602878,0.2167716836602878
Factor_21,emb_dim_0419,0.6196673066440603,0.6196673066440603
Factor_21,emb_dim_0292,-0.3238366763457928,0.3238366763457928
Factor_21,emb_dim_0445,-0.3073813447884181,0.3073813447884181
Factor_21,emb_dim_0361,-0.2969103828307271,0.2969103828307271
Factor_21,emb_dim_0426,0.28516053395700497,0.28516053395700497
Factor_21,emb_dim_0194,0.2679604039604618,0.2679604039604618
Factor_21,emb_dim_0057,-0.2588356949062212,0.2588356949062212
Factor_21,emb_dim_0242,-0.2586364386140105,0.2586364386140105
Factor_22,emb_dim_0304,-0.6648707624090985,0.6648707624090985
Factor_22,emb_dim_0005,0.33440375304507,0.33440375304507
Factor_22,emb_dim_0201,-0.3188016384691508,0.3188016384691508
Factor_22,emb_dim_0483,-0.31151492427118893,0.31151492427118893
Factor_22,emb_dim_0197,0.2822105971274896,0.2822105971274896
Factor_22,emb_dim_0324,0.2599276024324519,0.2599276024324519
Factor_22,emb_dim_0463,0.2460601343204239,0.2460601343204239
Factor_22,emb_dim_0044,0.24495585762844163,0.24495585762844163
Factor_23,emb_dim_0112,0.3196039849737392,0.3196039849737392
Factor_23,emb_dim_0366,0.31789483120812995,0.31789483120812995
Factor_23,emb_dim_0343,-0.285708964419491,0.285708964419491
Factor_23,emb_dim_0255,-0.2762957953232579,0.2762957953232579
Factor_23,emb_dim_0271,-0.25213111731142845,0.25213111731142845
Factor_23,emb_dim_0438,0.23024727950432283,0.23024727950432283
Factor_23,emb_dim_0083,-0.22650795032488333,0.22650795032488333
Factor_23,emb_dim_0269,0.2249829058329605,0.2249829058329605
Factor_24,emb_dim_0407,-0.7005129386664677,0.7005129386664677
Factor_24,emb_dim_0378,-0.3229718719277442,0.3229718719277442
