START_SCL_FEATURES {'scl_records': 198, 'already_done': 0}
SCL_FEATURE_OK 78 S2A_MSIL2A_20220421T153621_N0510_R068_T18NUJ_20240605T075002 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=04/tile=MGRS-18NUJ/S2A_MSIL2A_20220421T153621_N0510_R068_T18NUJ_20240605T075002.parquet
SCL_FEATURE_OK 79 S2B_MSIL2A_20220426T153609_N0510_R068_T18NUJ_20240610T175638 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=04/tile=MGRS-18NUJ/S2B_MSIL2A_20220426T153609_N0510_R068_T18NUJ_20240610T175638.parquet
SCL_FEATURE_OK 80 S2A_MSIL2A_20220511T153621_N0510_R068_T18NUJ_20241127T221012 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=05/tile=MGRS-18NUJ/S2A_MSIL2A_20220511T153621_N0510_R068_T18NUJ_20241127T221012.parquet
SCL_FEATURE_OK 81 S2B_MSIL2A_20220605T153619_N0510_R068_T18NUJ_20240619T174118 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=06/tile=MGRS-18NUJ/S2B_MSIL2A_20220605T153619_N0510_R068_T18NUJ_20240619T174118.parquet
SCL_FEATURE_OK 82 S2B_MSIL2A_20220615T153619_N0510_R068_T18NUJ_20240620T134414 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=06/tile=MGRS-18NUJ/S2B_MSIL2A_20220615T153619_N0510_R068_T18NUJ_20240620T134414.parquet
SCL_FEATURE_OK 83 S2A_MSIL2A_20220707T152651_N0510_R025_T18NUJ_20240626T073228 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=07/tile=MGRS-18NUJ/S2A_MSIL2A_20220707T152651_N0510_R025_T18NUJ_20240626T073228.parquet
SCL_FEATURE_OK 84 S2A_MSIL2A_20220730T153631_N0510_R068_T18NUJ_20240712T000005 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=07/tile=MGRS-18NUJ/S2A_MSIL2A_20220730T153631_N0510_R068_T18NUJ_20240712T000005.parquet
SCL_FEATURE_OK 85 S2B_MSIL2A_20220824T153619_N0510_R068_T18NUK_20240722T110119 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=08/tile=MGRS-18NUK/S2B_MSIL2A_20220824T153619_N0510_R068_T18NUK_20240722T110119.parquet
SCL_FEATURE_OK 86 S2B_MSIL2A_20220824T153619_N0510_R068_T18NUJ_20240722T110119 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=08/tile=MGRS-18NUJ/S2B_MSIL2A_20220824T153619_N0510_R068_T18NUJ_20240722T110119.parquet
SCL_FEATURE_OK 87 S2A_MSIL2A_20220829T153631_N0510_R068_T18NUK_20240718T221245 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=08/tile=MGRS-18NUK/S2A_MSIL2A_20220829T153631_N0510_R068_T18NUK_20240718T221245.parquet
SCL_FEATURE_OK 88 S2B_MSIL2A_20220903T153619_N0510_R068_T18NUK_20240629T090012 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=09/tile=MGRS-18NUK/S2B_MSIL2A_20220903T153619_N0510_R068_T18NUK_20240629T090012.parquet
SCL_FEATURE_OK 89 S2A_MSIL2A_20220908T153631_N0510_R068_T18NUK_20240728T164946 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=09/tile=MGRS-18NUK/S2A_MSIL2A_20220908T153631_N0510_R068_T18NUK_20240728T164946.parquet
SCL_FEATURE_OK 90 S2A_MSIL2A_20220908T153631_N0510_R068_T18NUJ_20240728T164946 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=09/tile=MGRS-18NUJ/S2A_MSIL2A_20220908T153631_N0510_R068_T18NUJ_20240728T164946.parquet
