sample_index,end_date,target_date,pollutant,horizon_days,grid_id,lat,lon,prediction_convlstm,kriged_residual,prediction_corrected,kriging_variance,kriging_status
118,2024-12-16,2024-12-23,SO2,7,g_006_009,3.3325,-76.5525,2.97360897064209,-2.910015344619751,0.0635936260223388,146.25140380859375,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_010,3.3325,-76.5475,2.8269948959350586,-2.935997247695923,2.8269948959350586,144.27391052246094,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_011,3.3325,-76.54249999999999,2.7565126419067383,-2.955619096755981,2.7565126419067383,142.62997436523438,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_012,3.3325,-76.5375,2.703697204589844,-2.968944549560547,2.703697204589844,141.3122100830078,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_013,3.3325,-76.5325,2.61819076538086,-2.976045608520508,2.61819076538086,140.31314086914062,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_014,3.3325,-76.5275,2.569386482238769,-2.9770021438598637,2.569386482238769,139.62637329101562,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_015,3.3325,-76.5225,2.63454818725586,-2.971901655197144,2.63454818725586,139.2477264404297,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_016,3.3325,-76.5175,2.6938161849975586,-2.9608383178710938,2.6938161849975586,139.1759796142578,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_017,3.3325,-76.5125,2.7248048782348637,-2.943911075592041,2.7248048782348637,139.4132537841797,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_018,3.3325,-76.5075,2.8884143829345703,-2.9212183952331543,2.8884143829345703,139.96493530273438,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_019,3.3325,-76.5025,3.026360511779785,-2.892854690551758,0.1335058212280273,140.83901977539062,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_020,3.3325,-76.4975,3.2188940048217773,-2.8589046001434326,0.3599894046783447,142.0452117919922,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_021,3.3325,-76.49249999999999,3.4493942260742188,-2.8194379806518555,0.6299562454223633,143.59359741210938,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_022,3.3325,-76.4875,3.7607364654541016,-2.774507761001587,0.9862287044525146,145.493408203125,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_023,3.3325,-76.4825,3.973230361938477,-2.72414779663086,1.2490825653076172,147.75181579589844,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_024,3.3325,-76.47749999999999,4.167317390441895,-2.668375253677368,1.4989421367645264,150.37294006347656,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_025,3.3325,-76.4725,4.429758071899414,-2.6071951389312744,1.82256293296814,153.35726928710938,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_026,3.3325,-76.4675,4.752429962158203,-2.5406055450439453,2.211824417114258,156.701416015625,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_027,3.3325,-76.46249999999999,4.955318450927734,-2.4686055183410645,2.48671293258667,160.3982391357422,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_028,3.3325,-76.4575,4.856101036071777,-2.391201972961426,2.464899063110352,164.4372100830078,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_029,3.3325,-76.4525,4.552638053894043,-2.308416843414306,2.2442212104797363,168.80494689941406,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_030,3.3325,-76.44749999999999,4.274813652038574,-2.220292091369629,2.0545215606689453,173.48599243164062,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_031,3.3325,-76.4425,4.15438175201416,-2.1268928050994877,2.027488946914673,178.46337890625,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_032,3.3325,-76.4375,4.3870391845703125,-2.028310060501098,2.358729124069214,183.7193603515625,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_033,3.3325,-76.43249999999999,4.678164482116699,-1.9246606826782229,2.753503799438477,189.23590087890625,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_034,3.3325,-76.4275,4.914408683776856,-1.816085696220398,3.098322987556457,194.9952392578125,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_035,3.3325,-76.4225,5.005413055419922,-1.7027488946914673,3.3026641607284546,200.9801177978516,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_036,3.3325,-76.41749999999999,5.303900718688965,-1.584833741188049,3.719066977500916,207.1741485595703,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_037,3.3325,-76.4125,6.221172332763672,-1.4625405073165894,4.7586318254470825,213.56187438964844,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_038,3.3325,-76.4075,8.059496879577637,-1.3360828161239624,6.723414063453674,220.12896728515625,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_039,3.3325,-76.4025,11.566726684570312,-1.2056845426559448,10.361042141914368,226.86219787597656,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_000,3.3375,-76.5975,10.559139251708984,-2.2832250595092773,8.275914192199707,171.87362670898438,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_001,3.3375,-76.5925,7.400349617004394,-2.3681883811950684,5.032161235809326,166.7889862060547,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_002,3.3375,-76.58749999999999,6.140799522399902,-2.4465081691741943,3.694291353225708,162.0001220703125,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_003,3.3375,-76.5825,5.424842834472656,-2.518117427825928,2.9067254066467285,157.52395629882812,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_004,3.3375,-76.5775,4.899955749511719,-2.5829780101776123,2.3169777393341064,153.3758544921875,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_005,3.3375,-76.57249999999999,4.354098320007324,-2.64107608795166,1.713022232055664,149.56898498535156,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_006,3.3375,-76.5675,3.870773315429688,-2.692420721054077,1.1783525943756104,146.113525390625,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_007,3.3375,-76.5625,3.4639158248901367,-2.737039566040039,0.7268762588500977,143.0159912109375,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_008,3.3375,-76.55749999999999,3.1627731323242188,-2.774975061416626,0.3877980709075928,140.27886962890625,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_009,3.3375,-76.5525,2.917109489440918,-2.8062820434570312,0.1108274459838867,137.90052795410156,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_010,3.3375,-76.5475,2.751154899597168,-2.8310248851776123,2.751154899597168,135.87551879882812,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_011,3.3375,-76.54249999999999,2.6726388931274414,-2.8492772579193115,2.6726388931274414,134.1954345703125,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_012,3.3375,-76.5375,2.5924768447875977,-2.861121416091919,2.5924768447875977,132.85009765625,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_013,3.3375,-76.5325,2.520758628845215,-2.8666505813598637,2.520758628845215,131.82916259765625,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_014,3.3375,-76.5275,2.5106935501098637,-2.865968704223633,2.5106935501098637,131.1236572265625,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_015,3.3375,-76.5225,2.654836654663086,-2.8591909408569336,2.654836654663086,130.72756958007812,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_016,3.3375,-76.5175,2.783964157104492,-2.846443653106689,2.783964157104492,130.63893127441406,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_017,3.3375,-76.5125,2.840801239013672,-2.827858686447144,0.0129425525665283,130.86033630371094,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_018,3.3375,-76.5075,3.052715301513672,-2.803569793701172,0.2491455078125,131.39881896972656,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_019,3.3375,-76.5025,3.279376983642578,-2.7737033367156982,0.5056736469268799,132.26504516601562,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_020,3.3375,-76.4975,3.5045032501220703,-2.738370418548584,0.7661328315734863,133.471923828125,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_021,3.3375,-76.49249999999999,3.70847225189209,-2.6976590156555176,1.0108132362365725,135.0330047607422,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_022,3.3375,-76.4875,3.859474182128906,-2.651629447937012,1.2078447341918943,136.96060180664062,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_023,3.3375,-76.4825,3.9306602478027344,-2.600311040878296,1.3303492069244385,139.2642822265625,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_024,3.3375,-76.47749999999999,4.02708625793457,-2.543705463409424,1.4833807945251465,141.94964599609375,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_025,3.3375,-76.4725,4.218378067016602,-2.4817919731140137,1.736586093902588,145.017578125,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_026,3.3375,-76.4675,4.444968223571777,-2.4145374298095703,2.030430793762207,148.46408081054688,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_027,3.3375,-76.46249999999999,4.792908668518066,-2.341905117034912,2.4510035514831543,152.28048706054688,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_028,3.3375,-76.4575,4.978904724121094,-2.263867139816284,2.7150375843048096,156.45411682128906,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_029,3.3375,-76.4525,4.86568546295166,-2.180413007736206,2.685272455215454,160.9690704345703,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_030,3.3375,-76.44749999999999,4.444746971130371,-2.0915565490722656,2.353190422058105,165.80711364746094,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_031,3.3375,-76.4425,4.26323127746582,-1.997341513633728,2.2658897638320923,170.9486083984375,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_032,3.3375,-76.4375,4.464775085449219,-1.897843718528748,2.566931366920471,176.37322998046875,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_033,3.3375,-76.43249999999999,4.7573347091674805,-1.793170690536499,2.964164018630981,182.0607147216797,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_034,3.3375,-76.4275,4.861743927001953,-1.6834602355957031,3.17828369140625,187.9912872314453,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_035,3.3375,-76.4225,4.911839485168457,-1.5688772201538086,3.3429622650146484,194.1460876464844,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_036,3.3375,-76.41749999999999,5.042301177978516,-1.4496103525161743,3.5926908254623413,200.5074157714844,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_037,3.3375,-76.4125,5.624435424804688,-1.325867772102356,4.298567652702332,207.0587921142578,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_038,3.3375,-76.4075,7.066323280334473,-1.1978731155395508,5.868450164794922,213.78515625,ok
118,2024-12-16,2024-12-23,SO2,7,g_007_039,3.3375,-76.4025,10.433265686035156,-1.065861701965332,9.367403984069824,220.6727294921875,ok
118,2024-12-16,2024-12-23,SO2,7,g_008_000,3.3425,-76.5975,11.088504791259766,-2.179260492324829,8.909244298934937,164.71514892578125,ok
118,2024-12-16,2024-12-23,SO2,7,g_008_001,3.3425,-76.5925,8.064034461975098,-2.264737129211426,5.799297332763672,159.45855712890625,ok
118,2024-12-16,2024-12-23,SO2,7,g_008_002,3.3425,-76.58749999999999,6.711963653564453,-2.34331488609314,4.3686487674713135,154.50338745117188,ok
118,2024-12-16,2024-12-23,SO2,7,g_008_003,3.3425,-76.5825,5.794340133666992,-2.4149274826049805,3.379412651062012,149.86932373046875,ok
118,2024-12-16,2024-12-23,SO2,7,g_008_004,3.3425,-76.5775,5.015801429748535,-2.4795403480529785,2.5362610816955566,145.57461547851562,ok
118,2024-12-16,2024-12-23,SO2,7,g_008_005,3.3425,-76.57249999999999,4.3304853439331055,-2.5371484756469727,1.7933368682861328,141.63511657714844,ok
118,2024-12-16,2024-12-23,SO2,7,g_008_006,3.3425,-76.5675,3.829468727111816,-2.5877716541290283,1.241697072982788,138.06329345703125,ok
