date,s5p_n_tiles_available_day,s5p_no2_mean,s5p_so2_mean,s5p_o3_mean,s5p_no2_available_pct,s5p_so2_available_pct,s5p_o3_available_pct
2023-03-02,1,1.7193743e-05,-1.9131932e-05,0.11366806,1.0,1.0,1.0
2023-03-03,1,1.7675302e-06,0.0,0.111960754,1.0,1.0,1.0
2023-03-04,1,0.0,0.0,0.111463994,1.0,1.0,1.0
2023-03-05,1,0.0,0.0,0.111876816,1.0,1.0,1.0
2023-03-06,1,0.0,0.0,0.1136452,1.0,1.0,1.0
2023-03-07,1,0.0,0.0,0.114554375,1.0,1.0,1.0
2023-03-08,1,1.6853634e-06,0.0,0.11412951,1.0,1.0,1.0
2023-03-09,1,4.8499046e-06,0.0,0.11296029,1.0,1.0,1.0
2023-03-10,1,1.0636038e-06,-2.1922685e-06,0.11519309,1.0,1.0,1.0
2023-03-11,1,0.0,0.0,0.11519016,1.0,1.0,1.0
2023-03-12,1,0.0,0.0,0.11347713,1.0,1.0,1.0
2023-03-13,1,0.0,0.0,0.11560596,1.0,1.0,1.0
2023-03-14,1,2.8833933e-06,2.9207574e-06,0.11626174,1.0,1.0,1.0
2023-03-15,1,1.3983786e-06,2.3897135e-05,0.11519544,1.0,1.0,1.0
2023-03-16,1,0.0,0.0,0.11553904,1.0,1.0,1.0
2023-03-17,1,5.2133773e-06,-3.0306963e-05,0.11602611,1.0,1.0,1.0
2023-03-18,1,0.0,0.0,0.11701619,1.0,1.0,1.0
2023-03-19,1,6.658225e-06,0.00018037982,0.117999,1.0,1.0,1.0
2023-03-20,1,9.323597e-06,5.559922e-05,0.117264,1.0,1.0,1.0
2023-03-21,1,2.5495312e-05,0.00031220313,0.11871828,1.0,1.0,1.0
2023-03-22,1,3.3442342e-07,-5.3331038e-05,0.11832979,1.0,1.0,1.0
2023-03-23,1,0.0,0.0,0.11816729,1.0,1.0,1.0
2023-03-24,1,0.0,0.0,0.116604134,1.0,1.0,1.0
2023-03-25,1,2.6260514e-05,-8.568511e-06,0.11728954,1.0,1.0,1.0
2023-03-26,1,5.4771212e-06,-7.787566e-05,0.117589906,1.0,1.0,1.0
2023-03-27,1,0.0,0.0,0.11866664,1.0,1.0,1.0
2023-03-28,1,-3.964703e-07,0.0,0.09657085,1.0,1.0,1.0
2023-03-29,1,0.0,0.0,0.11693881,1.0,1.0,1.0
2023-03-30,1,3.222339e-05,-5.8448986e-05,0.11885343,1.0,1.0,1.0
2023-03-31,1,8.899381e-06,0.00012306534,0.11872487,1.0,1.0,1.0
2023-04-01,1,9.319099e-06,0.00010290801,0.11867726,1.0,1.0,1.0
2023-04-02,1,0.0,0.0,0.11948871,1.0,1.0,1.0
2023-04-03,1,1.9487345e-05,-9.123352e-06,0.11938816,1.0,1.0,1.0
2023-04-04,1,2.5092975e-06,0.0,0.11899068,1.0,1.0,1.0
2023-04-05,1,2.9789904e-05,0.00020606606,0.119699925,1.0,1.0,1.0
2023-04-06,1,0.0,0.0,0.12024698,1.0,1.0,1.0
2023-04-07,1,9.289266e-06,0.00012541671,0.11979126,1.0,1.0,1.0
2023-04-08,1,3.455466e-07,0.0,0.11941637,1.0,1.0,1.0
2023-04-09,1,1.6570526e-05,1.06454345e-05,0.119127296,1.0,1.0,1.0
2023-04-10,1,1.856367e-05,-4.3425796e-05,0.1184307,1.0,1.0,1.0
2023-04-11,1,0.0,0.0,0.11884404,1.0,1.0,1.0
2023-04-12,1,2.5662393e-06,-1.442885e-05,0.11682987,1.0,1.0,1.0
2023-04-13,1,0.0,0.0,0.058612052,1.0,1.0,1.0
2023-04-14,1,0.0,0.0,0.1185763,1.0,1.0,1.0
2023-04-15,1,3.7008565e-06,5.9389063e-06,0.11785851,1.0,1.0,1.0
2023-04-16,1,0.0,0.0,0.11823198,1.0,1.0,1.0
2023-04-17,1,1.0209724e-05,-4.086317e-05,0.11941801,1.0,1.0,1.0
2023-04-18,1,2.3082584e-05,9.7614764e-05,0.119033724,1.0,1.0,1.0
2023-04-19,1,1.2530919e-05,7.2134494e-06,0.1193815,1.0,1.0,1.0
2023-04-20,1,0.0,0.0,0.12037221,1.0,1.0,1.0
2023-04-21,1,2.0272435e-06,0.0,0.119824015,1.0,1.0,1.0
2023-04-22,1,1.0563459e-05,3.972354e-05,0.11927121,1.0,1.0,1.0
2023-04-23,1,0.0,0.0,0.11821261,1.0,1.0,1.0
2023-04-24,1,0.0,0.0,0.11648162,1.0,1.0,1.0
2023-04-25,1,8.313828e-07,6.897152e-07,0.115769066,1.0,1.0,1.0
2023-04-26,1,0.0,0.0,0.117517255,1.0,1.0,1.0
2023-04-27,1,1.7427406e-05,-1.5094595e-05,0.11595454,1.0,1.0,1.0
2023-04-28,1,0.0,0.0,0.115971476,1.0,1.0,1.0
2023-04-29,1,0.0,0.0,0.0,1.0,1.0,1.0
2023-04-30,1,0.0,0.0,0.114232294,1.0,1.0,1.0
2023-05-01,1,1.1540592e-05,-3.7028873e-05,0.115940325,1.0,1.0,1.0
2023-05-02,1,4.2285075e-05,0.00017316533,0.117321484,1.0,1.0,1.0
2023-05-03,1,0.0,0.0,0.0,1.0,1.0,1.0
2023-05-04,1,2.6582617e-05,6.936633e-05,0.11853661,1.0,1.0,1.0
2023-05-05,1,0.0,0.0,0.116436005,1.0,1.0,1.0
2023-05-06,1,0.0,0.0,0.11606163,1.0,1.0,1.0
2023-05-07,1,3.7331884e-05,0.00011596061,0.116116494,1.0,1.0,1.0
2023-05-08,1,0.0,0.0,0.11737955,1.0,1.0,1.0
2023-05-09,1,1.40968e-06,-2.0507646e-06,0.11609477,1.0,1.0,1.0
2023-05-10,1,0.0,0.0,0.11586391,1.0,1.0,1.0
2023-05-11,1,1.4331579e-06,3.9422535e-05,0.11714821,1.0,1.0,1.0
2023-05-12,1,4.0043604e-05,5.8993013e-05,0.11858072,1.0,1.0,1.0
2023-05-13,1,1.367963e-05,-1.7846573e-05,0.117895015,1.0,1.0,1.0
2023-05-14,1,0.0,0.0,0.11856167,1.0,1.0,1.0
2023-05-15,1,0.0,0.0,0.0,1.0,1.0,1.0
2023-05-16,1,0.0,0.0,0.11546227,1.0,1.0,1.0
2023-05-17,1,1.749271e-05,4.6100635e-05,0.11629746,1.0,1.0,1.0
2023-05-18,1,0.0,0.0,0.0,1.0,1.0,1.0
2023-05-19,1,0.0,0.0,0.116601124,1.0,1.0,1.0
2023-05-20,1,0.0,0.0,0.11630256,1.0,1.0,1.0
2023-05-21,1,0.0,0.0,0.11699342,1.0,1.0,1.0
2023-05-22,1,8.617913e-06,-1.7088243e-05,0.11614557,1.0,1.0,1.0
2023-05-23,1,1.7229397e-05,1.0557691e-05,0.11551095,1.0,1.0,1.0
2023-05-24,1,1.755187e-05,-4.1652274e-06,0.117812045,1.0,1.0,1.0
2023-05-25,1,2.3023016e-05,0.00019061529,0.11762356,1.0,1.0,1.0
2023-05-26,1,0.0,0.0,0.11694211,1.0,1.0,1.0
2023-05-27,1,0.0,-3.74726e-05,0.11471891,1.0,1.0,1.0
2023-05-28,1,0.0,-3.059048e-07,0.11402825,1.0,1.0,1.0
2023-05-29,1,0.0,-1.9146852e-05,0.11506764,1.0,1.0,1.0
2023-05-30,1,4.495363e-06,5.0974155e-05,0.11694452,1.0,1.0,1.0
2023-05-31,1,0.0,0.0,0.0,1.0,1.0,1.0
2023-06-01,1,0.0,0.0,0.114450194,1.0,1.0,1.0
2023-06-02,1,1.1604749e-05,-1.9465191e-05,0.11599415,1.0,1.0,1.0
2023-06-03,1,0.0,8.2286286e-05,0.1176181,1.0,1.0,1.0
2023-06-04,1,3.4853315e-06,1.1914001e-05,0.11858778,1.0,1.0,1.0
2023-06-05,1,1.8966928e-05,6.459616e-05,0.11726491,1.0,1.0,1.0
2023-06-06,1,0.0,0.0,0.11654708,1.0,1.0,1.0
2023-06-07,1,7.1192203e-06,5.922456e-07,0.115753524,1.0,1.0,1.0
2023-06-08,1,2.6613343e-05,2.1386695e-05,0.0,1.0,1.0,1.0
2023-06-09,1,8.33494e-06,-2.6046651e-05,0.11506751,1.0,1.0,1.0
2023-06-10,1,4.4509875e-06,-4.2750216e-05,0.11551253,1.0,1.0,1.0
2023-06-11,1,-1.7093875e-07,0.0,0.115971096,1.0,1.0,1.0
2023-06-12,1,2.6078036e-05,2.3968245e-05,0.11781277,1.0,1.0,1.0
2023-06-13,1,2.746799e-05,2.5011283e-05,0.11709988,1.0,1.0,1.0
2023-06-14,1,0.0,0.0,0.11644742,1.0,1.0,1.0
2023-06-15,1,1.0178213e-05,0.00026868406,0.11638586,1.0,1.0,1.0
2023-06-16,1,0.0,0.0,0.0,1.0,1.0,1.0
2023-06-17,1,0.0,0.0,0.11542657,1.0,1.0,1.0
2023-06-18,1,7.904328e-06,6.227496e-05,0.11640813,1.0,1.0,1.0
2023-06-19,1,3.4593715e-05,1.4520699e-05,0.11775098,1.0,1.0,1.0
2023-06-20,1,3.96811e-05,7.900375e-06,0.11613883,1.0,1.0,1.0
2023-06-21,1,0.0,0.0,0.11726786,1.0,1.0,1.0
2023-06-22,1,0.0,0.0,0.11586824,1.0,1.0,1.0
2023-06-23,1,6.3709217e-06,-6.5227985e-05,0.11688144,1.0,1.0,1.0
2023-06-24,1,4.944409e-06,8.456213e-05,0.116246365,1.0,1.0,1.0
2023-06-25,1,1.8196234e-08,-5.6008757e-06,0.11745442,1.0,1.0,1.0
2023-06-26,1,3.9638257e-06,1.1140436e-05,0.11889266,1.0,1.0,1.0
2023-06-27,1,0.0,0.0,0.11700082,1.0,1.0,1.0
2023-06-28,1,9.608917e-06,2.0448224e-06,0.11662488,1.0,1.0,1.0
2023-06-29,1,4.1117022e-05,0.00014203056,0.11789668,1.0,1.0,1.0
2023-06-30,1,3.827498e-05,0.00016238228,0.115972914,1.0,1.0,1.0
2023-07-01,1,5.988782e-06,0.00016414486,0.1158295,1.0,1.0,1.0
2023-07-02,1,0.0,0.0,0.0,1.0,1.0,1.0
2023-07-03,1,0.0,0.0,0.11730215,1.0,1.0,1.0
2023-07-04,1,8.954963e-06,5.24305e-05,0.11599865,1.0,1.0,1.0
2023-07-05,1,3.8303e-06,-8.0850884e-07,0.11673228,1.0,1.0,1.0
2023-07-06,1,0.0,-1.1688396e-06,0.11595326,1.0,1.0,1.0
2023-07-07,1,0.0,0.0,0.116680175,1.0,1.0,1.0
2023-07-08,1,0.0,0.0,0.11447562,1.0,1.0,1.0
2023-07-09,1,1.501916e-06,1.7567481e-07,0.11448233,1.0,1.0,1.0
2023-07-10,1,2.1358894e-05,3.3916376e-06,0.116598755,1.0,1.0,1.0
2023-07-11,1,7.394667e-06,6.777754e-05,0.11670936,1.0,1.0,1.0
2023-07-12,1,1.8128674e-05,0.0001401155,0.11768787,1.0,1.0,1.0
2023-07-13,1,2.3543931e-05,0.0,0.11633636,1.0,1.0,1.0
2023-07-14,1,4.0917786e-07,-6.1630993e-07,0.11799236,1.0,1.0,1.0
2023-07-15,1,2.2016962e-05,3.514369e-05,0.11703365,1.0,1.0,1.0
2023-07-16,1,1.7366729e-05,-9.593639e-06,0.11741396,1.0,1.0,1.0
2023-07-17,1,1.2948249e-07,2.8108054e-06,0.11561791,1.0,1.0,1.0
2023-07-18,1,0.0,0.0,0.00016315785,1.0,1.0,1.0
2023-07-19,1,3.1662705e-05,0.0002674314,0.11757727,1.0,1.0,1.0
2023-07-20,1,2.5505053e-05,0.00021025896,0.11770658,1.0,1.0,1.0
2023-07-21,1,0.0,0.0,0.11772262,1.0,1.0,1.0
2023-07-22,1,0.0,-5.559008e-06,0.11985085,1.0,1.0,1.0
2023-07-23,1,2.116751e-05,0.00040579058,0.120005585,1.0,1.0,1.0
2023-07-24,1,2.4956957e-05,4.2770524e-05,0.11965792,1.0,1.0,1.0
2023-07-25,1,0.0,0.0,0.11909318,1.0,1.0,1.0
2023-07-26,1,2.3688306e-06,-1.093075e-05,0.118548654,1.0,1.0,1.0
2023-07-27,1,2.2978493e-05,9.087777e-05,0.118603684,1.0,1.0,1.0
2023-07-28,1,3.546495e-05,0.00014700231,0.118704766,1.0,1.0,1.0
2023-07-29,1,0.0,0.0,0.11776189,1.0,1.0,1.0
2023-07-30,1,0.0,0.0,0.11866684,1.0,1.0,1.0
2023-07-31,1,1.8893292e-05,-1.09086795e-05,0.11798567,1.0,1.0,1.0
2023-08-01,1,1.2287163e-05,1.0105163e-05,0.11852969,1.0,1.0,1.0
2023-08-02,1,4.441893e-06,0.00014248525,0.1210653,1.0,1.0,1.0
2023-08-03,1,0.0,0.0,0.023908865,1.0,1.0,1.0
2023-08-04,1,4.5607536e-05,5.971673e-05,0.123267755,1.0,1.0,1.0
2023-08-05,1,3.9503753e-05,-2.0370268e-05,0.12165835,1.0,1.0,1.0
2023-08-06,1,0.0,0.0,0.12089859,1.0,1.0,1.0
2023-08-07,1,0.0,0.0,0.12133313,1.0,1.0,1.0
2023-08-08,1,1.7663691e-05,4.4424072e-05,0.1225662,1.0,1.0,1.0
2023-08-09,1,1.2267792e-05,1.6866556e-05,0.119391814,1.0,1.0,1.0
2023-08-10,1,3.490648e-05,2.3848883e-05,0.12098454,1.0,1.0,1.0
2023-08-11,1,1.9527053e-05,7.082155e-05,0.12045341,1.0,1.0,1.0
2023-08-12,1,8.356312e-06,2.4411402e-05,0.12124524,1.0,1.0,1.0
2023-08-13,1,0.0,0.0,0.12195802,1.0,1.0,1.0
2023-08-14,1,7.358696e-07,0.0,0.12020477,1.0,1.0,1.0
2023-08-15,1,0.0,0.0,0.11920531,1.0,1.0,1.0
2023-08-16,1,1.4323983e-05,-1.7265398e-05,0.12209765,1.0,1.0,1.0
2023-08-17,1,4.0844134e-05,5.470029e-05,0.12321493,1.0,1.0,1.0
2023-08-18,1,0.0,4.4730732e-05,0.12259617,1.0,1.0,1.0
2023-08-19,1,0.0,0.0,0.072280966,1.0,1.0,1.0
2023-08-20,1,1.8351527e-06,0.0,0.12158961,1.0,1.0,1.0
2023-08-21,1,1.7106767e-06,-4.03697e-06,0.12127702,1.0,1.0,1.0
2023-08-22,1,1.7020117e-05,1.9331832e-05,0.12057872,1.0,1.0,1.0
2023-08-23,1,1.2365348e-05,0.00017834605,0.12264389,1.0,1.0,1.0
2023-08-24,1,9.261172e-06,5.759173e-05,0.12204247,1.0,1.0,1.0
2023-08-25,1,7.007514e-06,0.0,0.123584166,1.0,1.0,1.0
2023-08-26,1,5.8310914e-05,0.00039934256,0.12417409,1.0,1.0,1.0
2023-08-27,1,4.240835e-05,0.00019321204,0.12374469,1.0,1.0,1.0
2023-08-28,1,3.717001e-05,3.1890344e-05,0.12366149,1.0,1.0,1.0
2023-08-29,1,3.8395094e-05,-8.756392e-05,0.12472657,1.0,1.0,1.0
2023-08-30,1,0.0,0.0,0.12313788,1.0,1.0,1.0
2023-08-31,1,1.3293958e-05,-9.611661e-06,0.12339137,1.0,1.0,1.0
2023-09-01,1,5.7485762e-05,0.00020657344,0.12522554,1.0,1.0,1.0
2023-09-02,1,1.8862022e-05,-1.32617515e-05,0.1265822,1.0,1.0,1.0
2023-09-03,1,0.0,-9.482416e-06,0.12505363,1.0,1.0,1.0
2023-09-04,1,0.0,0.0,0.09694362,1.0,1.0,1.0
2023-09-05,1,3.7261314e-05,8.536413e-05,0.12682897,1.0,1.0,1.0
2023-09-06,1,5.0538263e-05,0.00020435429,0.1274653,1.0,1.0,1.0
2023-09-07,1,9.300811e-06,2.29259e-05,0.12746787,1.0,1.0,1.0
2023-09-08,1,3.9761544e-06,-1.3039571e-06,0.12542641,1.0,1.0,1.0
2023-09-09,1,0.0,0.0,0.122886896,1.0,1.0,1.0
2023-09-10,1,7.6087935e-07,0.0,0.12394174,1.0,1.0,1.0
2023-09-11,1,3.7461698e-05,-6.9121984e-06,0.12248437,1.0,1.0,1.0
2023-09-12,1,4.1422885e-05,7.570491e-05,0.12397457,1.0,1.0,1.0
2023-09-13,1,1.5665984e-05,6.923123e-05,0.12533125,1.0,1.0,1.0
2023-09-14,1,0.0,0.0,0.12130386,1.0,1.0,1.0
2023-09-15,1,1.7327598e-05,-8.764268e-05,0.12379105,1.0,1.0,1.0
2023-09-16,1,2.979573e-05,-3.7535836e-05,0.12546736,1.0,1.0,1.0
2023-09-17,1,0.0,0.0,0.12430293,1.0,1.0,1.0
2023-09-18,1,0.0,0.0,0.12514502,1.0,1.0,1.0
2023-09-19,1,8.930097e-06,0.00015754258,0.12528414,1.0,1.0,1.0
2023-09-20,1,1.4083935e-07,0.0,0.035696667,1.0,1.0,1.0
2023-09-21,1,4.859738e-05,0.00017484925,0.12587352,1.0,1.0,1.0
2023-09-22,1,3.418854e-05,8.1359256e-05,0.12434701,1.0,1.0,1.0
2023-09-23,1,4.0713676e-05,6.9588554e-05,0.12461432,1.0,1.0,1.0
2023-09-24,1,2.9469335e-05,7.3058174e-05,0.12259837,1.0,1.0,1.0
2023-09-25,1,1.2355043e-06,0.00013785837,0.121165864,1.0,1.0,1.0
2023-09-26,1,2.5590966e-06,0.0,0.12209883,1.0,1.0,1.0
2023-09-27,1,4.115099e-05,-8.31085e-05,0.121835455,1.0,1.0,1.0
2023-09-28,1,1.0504599e-06,0.0,0.12041916,1.0,1.0,1.0
2023-09-29,1,6.303065e-05,6.600579e-07,0.123206764,1.0,1.0,1.0
2023-09-30,1,0.0,3.3347194e-05,0.12197417,1.0,1.0,1.0
2023-10-01,1,2.0666394e-06,0.0,0.12198083,1.0,1.0,1.0
2023-10-02,1,4.3690026e-05,1.5531738e-05,0.12396089,1.0,1.0,1.0
2023-10-03,1,3.0858107e-05,-1.6289672e-06,0.12404022,1.0,1.0,1.0
2023-10-04,1,1.0647504e-05,-1.3026726e-05,0.12241822,1.0,1.0,1.0
2023-10-05,1,0.0,0.0,0.124448106,1.0,1.0,1.0
