split,candidate_class,unit,mean_abs_activation,active_frequency
test,ozono_anomalo,660,0.07583654671907425,0.46
test,ozono_anomalo,106,0.0728001594543457,0.6
test,ozono_anomalo,204,0.07258762419223785,0.58
test,ozono_anomalo,830,0.06911375373601913,0.48
test,suelo_urbano,568,0.4008689522743225,0.9555555555555556
test,suelo_urbano,3,0.3569585084915161,0.8666666666666667
test,suelo_urbano,899,0.32442808151245117,0.9555555555555556
test,suelo_urbano,379,0.3223740756511688,0.8444444444444444
test,suelo_urbano,652,0.30835017561912537,0.7777777777777778
test,suelo_urbano,928,0.2917189598083496,0.6666666666666666
test,suelo_urbano,5,0.2909165918827057,0.8888888888888888
test,suelo_urbano,26,0.27780309319496155,0.6888888888888889
test,suelo_urbano,288,0.27004167437553406,0.5111111111111111
test,suelo_urbano,4,0.26935693621635437,0.8444444444444444
test,suelo_urbano,442,0.26927444338798523,0.8666666666666667
test,suelo_urbano,140,0.2670837640762329,0.8666666666666667
test,suelo_urbano,350,0.2642494738101959,0.8666666666666667
test,suelo_urbano,956,0.26159217953681946,0.8222222222222222
test,suelo_urbano,913,0.24518905580043793,0.7555555555555555
test,suelo_urbano,411,0.23656177520751953,0.9555555555555556
test,suelo_urbano,375,0.23519165813922882,0.8888888888888888
test,suelo_urbano,713,0.22879905998706818,0.8
test,suelo_urbano,861,0.22463059425354004,0.8444444444444444
test,suelo_urbano,747,0.2237206995487213,0.7555555555555555
test,suelo_urbano,53,0.22329901158809662,0.7333333333333333
test,suelo_urbano,524,0.2202139049768448,0.6888888888888889
test,suelo_urbano,397,0.20933066308498383,0.5555555555555556
test,suelo_urbano,562,0.2058437168598175,0.7777777777777778
test,suelo_urbano,552,0.20119281113147736,0.6888888888888889
test,vegetacion_densa,269,0.24792204797267914,0.9347826086956522
test,vegetacion_densa,275,0.20914490520954132,0.9130434782608695
test,vegetacion_densa,961,0.20064400136470795,0.9565217391304348
test,vegetacion_densa,650,0.1756654679775238,0.782608695652174
test,vegetacion_densa,674,0.17240865528583527,0.8478260869565217
test,vegetacion_densa,524,0.17115697264671326,0.8043478260869565
test,vegetacion_densa,612,0.1691182553768158,0.8478260869565217
test,vegetacion_densa,605,0.16485552489757538,0.8913043478260869
test,vegetacion_densa,981,0.1598176807165146,0.7608695652173914
test,vegetacion_densa,655,0.15679463744163513,0.782608695652174
test,vegetacion_densa,898,0.15662170946598053,0.782608695652174
test,vegetacion_densa,534,0.15502925217151642,0.8913043478260869
test,vegetacion_densa,88,0.1530884951353073,0.8043478260869565
test,vegetacion_densa,204,0.15301141142845154,0.8478260869565217
test,vegetacion_densa,229,0.14548984169960022,0.782608695652174
test,vegetacion_densa,346,0.14494642615318298,0.7608695652173914
test,vegetacion_densa,219,0.14459338784217834,0.782608695652174
test,vegetacion_densa,566,0.14431951940059662,0.8913043478260869
test,vegetacion_densa,583,0.14337089657783508,0.7391304347826086
test,vegetacion_densa,355,0.14168566465377808,0.782608695652174
test,vegetacion_densa,374,0.1378052532672882,0.8260869565217391
test,vegetacion_densa,681,0.13721218705177307,0.8695652173913043
test,vegetacion_densa,568,0.13699941337108612,0.6304347826086957
test,vegetacion_densa,837,0.12978534400463104,0.8043478260869565
test,vegetacion_densa,238,0.12964919209480286,0.6956521739130435
