pollutant,horizon_days,bin,distance_min,distance_max,distance_mean,semivariance,n_pairs
O3,3,9,0.1904442842901357,0.21152870891161935,0.2005584128070949,71.84713164140355,517
O3,3,10,0.21152870891161935,0.23261313353310298,0.2211959747119281,58.73312623291022,387
O3,3,11,0.23261313353310298,0.2536975581545866,0.23998006141682024,79.2456254092065,99
O3,7,0,0.000684462696783017,0.022268801033933205,0.011206729273472793,61.16633922981739,1072
O3,7,1,0.022268801033933205,0.04385313937108339,0.03431889761715262,63.72152485923604,1755
O3,7,2,0.04385313937108339,0.06543747770823358,0.053992079007109034,60.827839723569994,2769
O3,7,3,0.06543747770823358,0.08702181604538377,0.07895185041591624,75.64207937735968,3317
O3,7,4,0.08702181604538377,0.10860615438253396,0.09652617196664236,84.65547216612005,3415
O3,7,5,0.10860615438253396,0.13019049271968414,0.11837447940345562,84.46752936450252,2945
O3,7,6,0.13019049271968414,0.15177483105683434,0.14065689760444547,82.94783789740154,1770
O3,7,7,0.15177483105683434,0.17335916939398452,0.16159814027256073,84.9652112232821,1243
O3,7,8,0.17335916939398452,0.1949435077311347,0.18333191643295357,96.23748716884668,793
O3,7,9,0.1949435077311347,0.2165278460682849,0.2053242643929404,82.87879046052227,533
O3,7,10,0.2165278460682849,0.23811218440543508,0.22583907669470799,68.37055248659516,275
O3,7,11,0.23811218440543508,0.25969652274258526,0.24359370133109112,70.83560930563925,56
