pollutant,horizon_days,grid_id,lat,lon,prediction_corrected,kriging_variance,local_i,p_sim,quadrant,significant,lisa_cluster
NO2,7,g_030_008,3.4525,-76.55749999999999,8.421673774719238,51.214542388916016,0.6833739697190125,0.005,3,True,low_low
NO2,7,g_030_009,3.4525,-76.5525,8.62653112411499,50.83747100830078,0.42342915967767303,0.026,3,True,low_low
NO2,7,g_030_010,3.4525,-76.5475,9.026745319366457,50.54010391235352,0.07955864642328254,0.247,3,False,not_significant
NO2,7,g_030_011,3.4525,-76.54249999999999,9.709249019622805,50.32542037963867,0.05783762371784596,0.267,1,False,not_significant
NO2,7,g_030_012,3.4525,-76.5375,10.229051113128662,50.19567108154297,0.5063688369277791,0.036,1,True,high_high
NO2,7,g_030_013,3.4525,-76.5325,10.61151647567749,50.15226364135742,1.1169835727172799,0.003,1,True,high_high
NO2,7,g_030_014,3.4525,-76.5275,10.881727695465088,50.19567108154297,1.6667371025776503,0.001,1,True,high_high
NO2,7,g_030_015,3.4525,-76.5225,11.015246868133543,50.32542037963867,2.005123260281072,0.001,1,True,high_high
NO2,7,g_030_016,3.4525,-76.5175,11.076441287994385,50.54010391235352,2.169290239295314,0.001,1,True,high_high
NO2,7,g_030_017,3.4525,-76.5125,11.090940952301024,50.83747100830078,2.2259149694156073,0.001,1,True,high_high
NO2,7,g_030_018,3.4525,-76.5075,11.100729942321776,51.214542388916016,2.2739807439859985,0.001,1,True,high_high
NO2,7,g_030_019,3.4525,-76.5025,11.154911041259766,51.667728424072266,2.3607265835299214,0.001,1,True,high_high
NO2,7,g_030_020,3.4525,-76.4975,11.163157939910889,52.193016052246094,2.321436510189125,0.001,1,True,high_high
NO2,7,g_030_021,3.4525,-76.49249999999999,11.00340986251831,52.78610229492188,1.9079694706884536,0.001,1,True,high_high
NO2,7,g_030_022,3.4525,-76.4875,10.636966705322266,53.44253540039063,1.1110198530359094,0.003,1,True,high_high
NO2,7,g_030_023,3.4525,-76.4825,9.9670729637146,54.15785598754883,0.29078938750967515,0.061,1,False,not_significant
NO2,7,g_030_024,3.4525,-76.47749999999999,9.363664150238035,54.92766952514648,0.0007247663497381289,0.316,1,False,not_significant
NO2,7,g_030_025,3.4525,-76.4725,9.095107555389404,55.747745513916016,0.01628273084608288,0.458,3,False,not_significant
NO2,7,g_030_026,3.4525,-76.4675,9.075595378875732,56.61405563354492,0.04135365981599483,0.363,3,False,not_significant
NO2,7,g_030_027,3.4525,-76.46249999999999,8.90895700454712,57.5228271484375,0.12625763541268378,0.215,3,False,not_significant
NO2,7,g_030_028,3.4525,-76.4575,8.534414291381836,58.47054672241211,0.3482410851862393,0.092,3,False,not_significant
NO2,7,g_030_029,3.4525,-76.4525,8.53605031967163,59.4539680480957,0.35357893105228666,0.085,3,False,not_significant
NO2,7,g_030_030,3.4525,-76.44749999999999,8.991757869720459,60.47011566162109,0.07840733691435302,0.268,3,False,not_significant
NO2,7,g_030_031,3.4525,-76.4425,9.526591300964355,61.51627731323242,0.01900688504561172,0.333,1,False,not_significant
NO2,7,g_030_032,3.4525,-76.4375,9.88430881500244,62.589988708496094,0.19787796127370907,0.106,1,False,not_significant
NO2,7,g_030_033,3.4525,-76.43249999999999,10.06842851638794,63.68900680541992,0.3721481548975907,0.049,1,True,high_high
NO2,7,g_030_034,3.4525,-76.4275,10.125738620758057,64.81130981445312,0.4371966499053174,0.04,1,True,high_high
NO2,7,g_030_035,3.4525,-76.4225,10.075890064239502,65.95506286621094,0.36118497396835514,0.053,1,False,not_significant
NO2,7,g_030_036,3.4525,-76.41749999999999,9.80465316772461,67.11862182617188,0.14539937007438183,0.138,1,False,not_significant
NO2,7,g_030_037,3.4525,-76.4125,9.414742946624756,68.30049133300781,0.0178836916498691,0.141,1,False,not_significant
NO2,7,g_030_038,3.4525,-76.4075,10.01982879638672,69.49932098388672,0.5184619177783725,0.005,1,True,high_high
NO2,7,g_030_039,3.4525,-76.4025,11.763398885726929,70.7138900756836,2.3940034258475524,0.001,1,True,high_high
NO2,7,g_031_000,3.4575,-76.5975,11.330763339996338,57.655235290527344,1.5221655170606636,0.008,1,True,high_high
NO2,7,g_031_001,3.4575,-76.5925,10.076056480407717,56.81832885742188,0.4096713000979965,0.041,1,True,high_high
NO2,7,g_031_002,3.4575,-76.58749999999999,9.251808643341064,56.0276985168457,0.0033044172430165926,0.482,3,False,not_significant
NO2,7,g_031_003,3.4575,-76.5825,8.879394054412842,55.28706741333008,0.1628130039879709,0.147,3,False,not_significant
NO2,7,g_031_004,3.4575,-76.5775,8.781114101409912,54.60031127929688,0.2669082251746907,0.068,3,False,not_significant
NO2,7,g_031_005,3.4575,-76.57249999999999,8.779513359069824,53.97140884399414,0.30270307892174575,0.045,3,True,low_low
NO2,7,g_031_006,3.4575,-76.5675,8.690539360046387,53.40436553955078,0.39490325642397384,0.024,3,True,low_low
NO2,7,g_031_007,3.4575,-76.5625,8.499764442443848,52.90312576293945,0.5700550045800578,0.012,3,True,low_low
NO2,7,g_031_008,3.4575,-76.55749999999999,8.371993064880371,52.47146987915039,0.6809815432400448,0.007,3,True,low_low
NO2,7,g_031_009,3.4575,-76.5525,8.436644554138184,52.1129035949707,0.5671337635963365,0.016,3,True,low_low
NO2,7,g_031_010,3.4575,-76.5475,8.707914352416992,51.83051300048828,0.23296329897022097,0.135,3,False,not_significant
NO2,7,g_031_011,3.4575,-76.54249999999999,9.387529850006104,51.62686538696289,0.0003789874758521103,0.468,1,False,not_significant
NO2,7,g_031_012,3.4575,-76.5375,10.031795024871826,51.503883361816406,0.30610767860943433,0.071,1,False,not_significant
NO2,7,g_031_013,3.4575,-76.5325,10.538520336151125,51.46275329589844,0.9626384227320836,0.004,1,True,high_high
NO2,7,g_031_014,3.4575,-76.5275,10.840327739715576,51.503883361816406,1.577625608407992,0.001,1,True,high_high
NO2,7,g_031_015,3.4575,-76.5225,11.016056537628174,51.62686538696289,2.0004943699225866,0.001,1,True,high_high
NO2,7,g_031_016,3.4575,-76.5175,11.099711418151855,51.83051300048828,2.2374300915204604,0.001,1,True,high_high
NO2,7,g_031_017,3.4575,-76.5125,11.1488676071167,52.1129035949707,2.363553455596923,0.001,1,True,high_high
NO2,7,g_031_018,3.4575,-76.5075,11.168221473693848,52.47146987915039,2.4377217615566873,0.001,1,True,high_high
NO2,7,g_031_019,3.4575,-76.5025,11.234068870544434,52.90312576293945,2.528553769440977,0.001,1,True,high_high
NO2,7,g_031_020,3.4575,-76.4975,11.193100929260254,53.40436553955078,2.4141405020668234,0.001,1,True,high_high
NO2,7,g_031_021,3.4575,-76.49249999999999,11.039936065673828,53.97140884399414,1.940055989830891,0.001,1,True,high_high
NO2,7,g_031_022,3.4575,-76.4875,10.58174753189087,54.60031127929688,0.929325557658754,0.008,1,True,high_high
NO2,7,g_031_023,3.4575,-76.4825,9.635633945465088,55.28706741333008,0.06613288509150836,0.201,1,False,not_significant
NO2,7,g_031_024,3.4575,-76.47749999999999,8.779231548309326,56.0276985168457,0.12004346460752008,0.276,3,False,not_significant
NO2,7,g_031_025,3.4575,-76.4725,8.546908378601074,56.81832885742188,0.34259079581174184,0.09,3,False,not_significant
NO2,7,g_031_026,3.4575,-76.4675,8.606117725372314,57.655235290527344,0.3475885538521226,0.067,3,False,not_significant
NO2,7,g_031_027,3.4575,-76.46249999999999,8.559209823608398,58.534889221191406,0.3690856069852526,0.068,3,False,not_significant
NO2,7,g_031_028,3.4575,-76.4575,8.590213298797607,59.4539680480957,0.3199595164496501,0.094,3,False,not_significant
NO2,7,g_031_029,3.4575,-76.4525,8.896648406982422,60.40938186645508,0.11716210390460681,0.237,3,False,not_significant
NO2,7,g_031_030,3.4575,-76.44749999999999,9.378970623016356,61.39826965332031,0.0004249618422155022,0.456,1,False,not_significant
NO2,7,g_031_031,3.4575,-76.4425,9.778841018676758,62.41800308227539,0.12308266754328695,0.161,1,False,not_significant
NO2,7,g_031_032,3.4575,-76.4375,9.995938777923584,63.46615982055664,0.3054144392126435,0.059,1,False,not_significant
NO2,7,g_031_033,3.4575,-76.43249999999999,10.107903957366943,64.54054260253906,0.4257507116622497,0.042,1,True,high_high
NO2,7,g_031_034,3.4575,-76.4275,10.136471271514893,65.6391372680664,0.45866392497733544,0.034,1,True,high_high
NO2,7,g_031_035,3.4575,-76.4225,10.08604621887207,66.7601089477539,0.3839276543213795,0.048,1,True,high_high
NO2,7,g_031_036,3.4575,-76.41749999999999,9.861159324645996,67.90180206298828,0.1859260570753773,0.111,1,False,not_significant
NO2,7,g_031_037,3.4575,-76.4125,9.487845420837402,69.06270599365234,0.046173865476867665,0.12,1,False,not_significant
NO2,7,g_031_038,3.4575,-76.4075,9.94791865348816,70.24144744873047,0.4802806647416335,0.004,1,True,high_high
NO2,7,g_031_039,3.4575,-76.4025,11.715585231781006,71.43677520751953,2.40361712050516,0.001,1,True,high_high
NO2,7,g_032_000,3.4625,-76.5975,11.08964776992798,58.72715759277344,1.058720589000101,0.028,1,True,high_high
NO2,7,g_032_001,3.4625,-76.5925,9.663719177246094,57.91840362548828,0.12290222336244828,0.097,1,False,not_significant
NO2,7,g_032_002,3.4625,-76.58749999999999,8.889506340026855,57.155799865722656,0.08446499954645544,0.316,3,False,not_significant
NO2,7,g_032_003,3.4625,-76.5825,8.625231742858887,56.44277572631836,0.31766469148284504,0.081,3,False,not_significant
NO2,7,g_032_004,3.4625,-76.5775,8.57853889465332,55.78288269042969,0.39772442607387404,0.046,3,True,low_low
NO2,7,g_032_005,3.4625,-76.57249999999999,8.572582244873047,55.179718017578125,0.42781266695908204,0.036,3,True,low_low
NO2,7,g_032_006,3.4625,-76.5675,8.497906684875488,54.63687133789063,0.5077346652285984,0.023,3,True,low_low
NO2,7,g_032_007,3.4625,-76.5625,8.375641345977783,54.15785598754883,0.6359966547504664,0.012,3,True,low_low
NO2,7,g_032_008,3.4625,-76.55749999999999,8.328280925750732,53.74599838256836,0.7086152432505497,0.006,3,True,low_low
NO2,7,g_032_009,3.4625,-76.5525,8.356679916381836,53.40436553955078,0.6711148057578344,0.01,3,True,low_low
NO2,7,g_032_010,3.4625,-76.5475,8.485245704650879,53.1356315612793,0.43222609317479344,0.05,3,True,low_low
NO2,7,g_032_011,3.4625,-76.54249999999999,9.028175354003906,52.9420166015625,0.05132804051515069,0.345,3,False,not_significant
NO2,7,g_032_012,3.4625,-76.5375,9.781269073486328,52.82516479492188,0.12716517595281568,0.155,1,False,not_significant
NO2,7,g_032_013,3.4625,-76.5325,10.402961254119871,52.78610229492188,0.745746473108983,0.014,1,True,high_high
NO2,7,g_032_014,3.4625,-76.5275,10.745318412780762,52.82516479492188,1.3955627473903809,0.001,1,True,high_high
NO2,7,g_032_015,3.4625,-76.5225,10.95576000213623,52.9420166015625,1.870563272262329,0.001,1,True,high_high
NO2,7,g_032_016,3.4625,-76.5175,11.063350677490234,53.1356315612793,2.1685172587905672,0.001,1,True,high_high
NO2,7,g_032_017,3.4625,-76.5125,11.14059352874756,53.40436553955078,2.3407458997486725,0.001,1,True,high_high
NO2,7,g_032_018,3.4625,-76.5075,11.140772342681885,53.74599838256836,2.3828420408677826,0.001,1,True,high_high
NO2,7,g_032_019,3.4625,-76.5025,11.155178546905518,54.15785598754883,2.384916137114972,0.001,1,True,high_high
NO2,7,g_032_020,3.4625,-76.4975,11.102232933044434,54.63687133789063,2.2430882655773763,0.001,1,True,high_high
NO2,7,g_032_021,3.4625,-76.49249999999999,10.982786178588867,55.179718017578125,1.7771488572582794,0.001,1,True,high_high
NO2,7,g_032_022,3.4625,-76.4875,10.450904846191406,55.78288269042969,0.6760496616879395,0.027,1,True,high_high
NO2,7,g_032_023,3.4625,-76.4825,9.212234497070312,56.44277572631836,-0.0060130618659145155,0.422,2,False,not_significant
NO2,7,g_032_024,3.4625,-76.47749999999999,8.401020050048828,57.155799865722656,0.4027290419205132,0.092,3,False,not_significant
NO2,7,g_032_025,3.4625,-76.4725,8.438549995422363,57.91840362548828,0.5362367167736842,0.024,3,True,low_low
NO2,7,g_032_026,3.4625,-76.4675,8.617510318756104,58.72715759277344,0.39334631672799086,0.04,3,True,low_low
NO2,7,g_032_027,3.4625,-76.46249999999999,8.71100378036499,59.57876586914063,0.27530689636971845,0.09,3,False,not_significant
NO2,7,g_032_028,3.4625,-76.4575,8.911557674407959,60.47011566162109,0.11447652405530422,0.234,3,False,not_significant
NO2,7,g_032_029,3.4625,-76.4525,9.378978252410889,61.39826965332031,-7.056568247599396e-05,0.478,4,False,not_significant
NO2,7,g_032_030,3.4625,-76.44749999999999,9.843768119812012,62.36049270629883,0.1369041990783063,0.168,1,False,not_significant
NO2,7,g_032_031,3.4625,-76.4425,10.125344276428224,63.354248046875,0.38215739903237195,0.053,1,False,not_significant
NO2,7,g_032_032,3.4625,-76.4375,10.222666263580322,64.37718200683594,0.5275081902565849,0.028,1,True,high_high
NO2,7,g_032_033,3.4625,-76.43249999999999,10.23380422592163,65.42713928222656,0.5694623320155492,0.025,1,True,high_high
NO2,7,g_032_034,3.4625,-76.4275,10.225703239440918,66.50212860107422,0.5642092601944608,0.025,1,True,high_high
NO2,7,g_032_035,3.4625,-76.4225,10.197320938110352,67.600341796875,0.5045287715447843,0.03,1,True,high_high
NO2,7,g_032_036,3.4625,-76.41749999999999,10.03703784942627,68.7201156616211,0.31801784568302455,0.068,1,False,not_significant
NO2,7,g_032_037,3.4625,-76.4125,9.684144020080566,69.85993194580078,0.13618877859390327,0.087,1,False,not_significant
